section,old_present,new_present,old_type,new_type,old_size,new_size,size_match,old_sha256,new_sha256,hash_match
.data,yes,yes,PROGBITS,PROGBITS,244448,244448,yes,c7f0412133d2d2fc85a9064d4bf85c828ec7106b811cd84f182ae67a1ebe5d16,cadf7df99af3b7468d0983a92d66013097f817275b3cef35cb780cb1a2f85ce1,no
.data.rel.ro,yes,yes,PROGBITS,PROGBITS,8215280,8205296,no,6f101507e843db775330075417145bb2271561c28f4870fa37609c7bb096a0a9,d282fa55ba96d2ff928dc1dd32145c52e4ba3f2098f7b4db07d5fe37d13378ad,no
.debug_abbrev,yes,yes,PROGBITS,PROGBITS,1226906,1216882,no,a956174fc208114b60a93521ed08c056564d445b100527f2644d226a8d7ceef2,12db2b475f840ec0969b09881881009d821f803a8c23da94e4b2a21a7f99e561,no
.debug_addr,yes,yes,PROGBITS,PROGBITS,18350048,18351280,no,f5561acbbf4a2be297b6760b3b37b1b92864482aa09c07461a2cf70f0e9d6136,ff30c4a0e843bd96b81e27375a9bab833f6bf3bb790d552e9c91ae559e2545a1,no
.debug_aranges,yes,yes,PROGBITS,PROGBITS,22803040,22791184,no,5b2c9708f7b4c7dbb14a0e1d41e4866287aef3a2912e623b9911e6ae4b0133dd,400c33fc7026f90d8f02120024e133ee20311fb88cc80153f65700c66746283c,no
.debug_frame,yes,yes,PROGBITS,PROGBITS,48,48,yes,158864a83067fe0d3deb76de18ba77481e2c7ca985e4b978963bfed5a1cce3d8,cc7e0f8a50e9478a375f494d1fc8a9d71a4a72134864a00f83c6f6d3c77cf5da,no
.debug_info,yes,yes,PROGBITS,PROGBITS,10230712,10209972,no,051ec95f7ef86770905a2bc47af99bb314cbb8a331944c6897e0fb412f547cc4,1e9a072c475c7fa393e11960345d1f6d3e16379cfab17669f0c79e7090d353a3,no
.debug_line,yes,yes,PROGBITS,PROGBITS,121700518,121327035,no,9f9684b5d65929f045054a524b88c50dabf992a67aaebd484620e33cd92fbdeb,37882313ffff12b6bfb3c9a7b69936cb6477d99390040cf06142a4597a9ff513,no
.debug_macro,yes,yes,PROGBITS,PROGBITS,314343,314343,yes,5b0b4e693a39b4657fb7bf300a2ab17ba841acdef0beaf9a6ca7df683040d4e2,92a42b89baf4b2ca1f105e7a4fd07b7211e45526cda760b690df99ebe6d7b449,no
.debug_ranges,yes,yes,PROGBITS,PROGBITS,28491408,28492752,no,c63504aa0f3cfa7d4c29cd5a542d36c612a6428d7e03bdecfaf6849e1979c890,97413bfd41ae8bfe641f34fac969cb096bacdf7ac79f6064107e40eb5035ba92,no
.debug_str,yes,yes,PROGBITS,PROGBITS,7365668,7516880,no,2ce03114cfe42a516ed20196a4c90e4f3f6631584c9888df6fa4be7fe0619b90,b16a118995b48bd341c3a59c08556bba2115a751b2e698d8c0cd396aad3ba86d,no
.dynamic,yes,yes,DYNAMIC,DYNAMIC,496,496,yes,24c2437cb139a5a99361f0a47e2f51c0320558e6da69e21f014dd10930571eda,7dfecb856cd03666dceb515bbede3b72ecc8202b015fb43f494b035d8bf9f608,no
